Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577922183,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,15.538467407226563,15.537490844726563,16.395889282226563,16.354537963867188,15.65863037109375,15.660911560058594,15.657333374023438,15.648536682128906,15.608810424804688,15.534889221191406,15.606529235839844,15.534233093261719,71.71481323242188,100,16.33531951904297,16.334671020507813,0,91117.96374511719,58093.43084716797,474.8758544921875,16802746368,2818572288,6991233024,0
194,1740577922188,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,3.1745834350585938,0.4295501708984375,0.3428497314453125,0.1439361572265625,1.3713836669921875,1.3742141723632813,1.374786376953125,1.3566513061523438,0.215911865234375,0.12863922119140625,0.13260650634765625,0.13204193115234375,100,100,0.1807708740234375,0.13543701171875,0,91118.13201904297,58093.49737548828,474.8758544921875,16802746368,2818572288,6991233024,0
200,1740577922384,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,3.96319580078125,0,0,0,0,0,0,0,20.632545471191406,0,67.90340423583984,49.11589431762695,71.91828155517578,83.17839813232422,0,0,0,91120.26287841797,58094.47521972656,474.91436767578125,16802746368,2818572288,6991802368,0
199,1740577922585,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,6.200691223144531,0.647552490234375,0.726776123046875,0.69775390625,0.7647171020507813,0.763671875,0.7532958984375,0.7489089965820313,42.936195373535156,8.725936889648438,76.4865951538086,55.40598678588867,64.83775329589844,63.27347183227539,0.7344512939453125,0.6835479736328125,0,91122.60229492188,58095.663146972656,474.91436767578125,16802746368,2818572288,6993944576,0
199,1740577922785,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,8.359169006347656,2.1027755737304688,2.1018600463867188,2.064483642578125,2.148284912109375,2.129791259765625,2.1299819946289063,2.1386032104492188,14.148292541503906,4.12548828125,24.76617431640625,30.204177856445313,28.56720733642578,40.92827224731445,2.1122665405273438,2.0657424926757813,0,91124.27551269531,58096.23516845703,474.91436767578125,16802746368,2818572288,7003365376,0
199,1740577922985,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,7.952964782714844,0.6054611206054688,0.7378997802734375,0.6398696899414063,0.8353729248046875,0.754302978515625,0.7484970092773438,0.7490005493164063,0.7846603393554688,0.64862060546875,30.30615997314453,8.670555114746094,26.315399169921875,39.43299102783203,0.7474517822265625,0.6433181762695313,0,91125.69134521484,58096.567932128906,474.91436767578125,16802746368,2818572288,7006502912,0
199,1740577923186,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,7.4510345458984375,0.6271209716796875,0.8889007568359375,0.6820755004882813,0.8689727783203125,0.8258895874023438,0.845916748046875,1.4056015014648438,0.8527755737304688,0.6710968017578125,25.912315368652344,0.6498794555664063,23.470428466796875,27.91114044189453,0.9068374633789063,0.6849136352539063,0,91127.12976074219,58096.89099121094,474.91436767578125,16802746368,2818572288,7003963392,0
200,1740577923386,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,10.811714172363281,0,0,0,0,0,0,0,0,0,17.04145050048828,0,29.174484252929688,34.51641082763672,0,0,0,91128.50573730469,58097.20977783203,474.91436767578125,16802746368,2818572288,7005380608,0
199,1740577923587,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,4.9998016357421875,0,0,0,0,0,0,0,0,0,2.1991348266601563,0,22.53447723388672,11.669532775878906,0,0,0,91129.65704345703,58097.38415527344,474.91961669921875,16802746368,2818572288,7000948736,0
198,1740577923788,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,7.399559020996094,2.0679168701171875,2.1730270385742188,2.1034622192382813,2.1874465942382813,2.1504287719726563,2.157318115234375,2.2337722778320313,2.14447021484375,2.0891876220703125,2.1920242309570313,2.1134033203125,19.668731689453125,7.991401672363281,2.1691818237304688,2.1030197143554688,0,91130.60229492188,58097.467834472656,474.91961669921875,16802746368,2818572288,7004450816,0
199,1740577923988,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,8.399787902832031,0.6475906372070313,0.89935302734375,0.7648468017578125,0.806427001953125,0.7621841430664063,0.7649459838867188,0.8535919189453125,0.877227783203125,0.6871566772460938,0.8498764038085938,0.7150192260742188,34.02735137939453,9.610687255859375,0.8934173583984375,0.77606201171875,0,91131.6908569336,58097.70788574219,474.91961669921875,16802746368,2818572288,7004422144,0
214,1740577924189,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,3.7054367065429688,0,0,0,0,0,0,0.9069671630859375,0,0,0,0,30.068252563476563,11.457618713378906,0,0,0,91132.92358398438,58097.93682861328,474.965576171875,16802746368,2818572288,7003820032,0
199,1740577924404,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,10.714759826660156,2.9202880859375,3.0028762817382813,2.9251327514648438,2.97979736328125,2.9326095581054688,2.9233779907226563,3.0745315551757813,3.0142822265625,2.94207763671875,9.480979919433594,2.933624267578125,37.841922760009766,37.57179641723633,3.0078659057617188,2.9083709716796875,0,91134.03198242188,58098.110595703125,474.965576171875,16802746368,2818572288,7003901952,0
199,1740577924604,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,6.94525146484375,0.6114654541015625,1.2061691284179688,1.0865249633789063,1.3870620727539063,1.3734207153320313,1.3809967041015625,1.4282989501953125,0.8138809204101563,0.64501953125,22.165122985839844,8.254554748535156,38.69846725463867,54.5048713684082,1.2003021240234375,1.071075439453125,0,91135.42712402344,58098.65252685547,474.965576171875,16802746368,2818572288,7003455488,0
227,1740577924805,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,6.9202423095703125,0.8681182861328125,1.2638168334960938,1.1372299194335938,1.2657623291015625,1.2496185302734375,1.246185302734375,1.3031234741210938,1.0077056884765625,0.9052352905273438,18.8193359375,0.951416015625,27.154342651367188,72.6010513305664,1.2664108276367188,1.161346435546875,0,91136.82794189453,58099.135498046875,474.965576171875,16802746368,2818572288,7001714688,0
199,1740577925034,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,10.090721130371094,0.22254180908203125,0.31649017333984375,0.1770477294921875,0.3319244384765625,0.2698974609375,0.25505828857421875,0.3791961669921875,0.4536895751953125,0.24535369873046875,0.4557647705078125,0.23882293701171875,34.19951629638672,8.615608215332031,0.30233001708984375,0.1858673095703125,0,91138.1596069336,58099.30798339844,475.00762939453125,16802746368,2818572288,7001489408,0
