Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577862209,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0,0,0,0,70.17607116699219,76.90396118164063,92.12315368652344,0,0,0,0,90724.85906982422,57990.79376220703,469.69256591796875,16802746368,2818572288,6989004800,0
199,1740577862210,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,90724.99713134766,57990.869689941406,469.69256591796875,16802746368,2818572288,6988079104,0
199,1740577862411,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,45.40115737915039,4.9465179443359375,0,0,0,0,0,0,0,0,79.72854614257813,87.0951156616211,69.76429748535156,78.4197998046875,0,0,0,90727.36444091797,57992.02752685547,469.7353515625,16802746368,2818572288,6990184448,0
199,1740577862611,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,12.443496704101563,6.762458801269531,2.1993331909179688,2.16143798828125,2.2329254150390625,2.2242813110351563,2.2212600708007813,2.221649169921875,2.242401123046875,2.16339111328125,67.63477325439453,58.02439498901367,58.38414001464844,49.988304138183594,2.2118301391601563,2.1606597900390625,0,90729.65209960938,57993.19256591797,469.7353515625,16802746368,2818572288,6993788928,0
199,1740577862811,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.883125305175781,0.531951904296875,0.7570419311523438,0.5466690063476563,0.7883377075195313,0.7250518798828125,0.7117691040039063,0.9412765502929688,0.727264404296875,0.5396347045898438,41.58422088623047,43.74983215332031,29.260543823242188,13.229179382324219,0.7475433349609375,0.5480422973632813,0,90731.2142944336,57993.65686035156,469.7353515625,16802746368,2818572288,7000551424,0
198,1740577863013,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,3.3328628540039063,0,0,0,0,0,0,0,0,0,46.17923355102539,18.88494110107422,29.18128204345703,0,0,0,0,90732.5971069336,57993.969482421875,469.7353515625,16802746368,2818572288,7002034176,0
199,1740577863212,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.195487976074219,0,0,0,0,0,0,0,0,0,19.013710021972656,23.65856170654297,34.923057556152344,0,0,0,0,90733.94952392578,57994.248596191406,469.7353515625,16802746368,2818572288,7000629248,0
200,1740577863413,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,9.050834655761719,2.458221435546875,2.3492813110351563,2.34027099609375,2.3598861694335938,2.34075927734375,2.3404159545898438,2.42156982421875,2.5378646850585938,2.4337692260742188,20.948348999023438,23.04638671875,26.452293395996094,2.3203277587890625,2.350494384765625,2.318389892578125,0,90735.2328491211,57994.49835205078,469.7364501953125,16802746368,2818572288,7002255360,0
198,1740577863614,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,8.3717041015625,0,0,0,0.00580596923828125,0,0,0.1809539794921875,0,0,17.96576690673828,8.281356811523438,0,0,0,0,0,90736.2836303711,57994.62927246094,469.7396240234375,16802746368,2818572288,6997766144,0
199,1740577863814,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.6494903564453125,0.323394775390625,0.5265579223632813,0.380615234375,0.55816650390625,0.44472503662109375,0.45261383056640625,0.541839599609375,0.5733413696289063,0.36443328857421875,17.565101623535156,20.842933654785156,19.309043884277344,0.3889007568359375,0.5930633544921875,0.365631103515625,0,90737.47534179688,57994.850646972656,469.7806396484375,16802746368,2818572288,6996434944,0
