Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740578222261,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,8.654319763183594,8.362373352050781,14.441421508789063,8.766220092773438,8.960983276367188,8.90948486328125,8.911422729492188,8.907936096191406,8.540489196777344,8.379798889160156,95.93516540527344,94.06072998046875,90.58056640625,95.27653503417969,90.70021057128906,97.444091796875,0,92867.43841552734,58476.96563720703,488.7034912109375,16802746368,2818572288,7528566784,0
199,1740578222262,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,0,0,0,0,0,0,0,0,0,0,98.95610809326172,98.8703384399414,100,100,100,90.27342224121094,0,92867.67669677734,58477.08337402344,488.7034912109375,16802746368,2818572288,7539994624,0
199,1740578222462,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,2.4100570678710938,0,28.005752563476563,0,0,0,0,0,0,0,78.565185546875,81.48284912109375,79.34237670898438,80.71682739257813,73.923583984375,73.3399658203125,0,92870.94415283203,58478.89044189453,488.7451171875,16802746368,2818572288,7794573312,0
200,1740578222663,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,8.186416625976563,1.1458511352539063,34.217369079589844,31.62030792236328,1.1704483032226563,1.1574554443359375,1.1578521728515625,1.2191848754882813,1.1971206665039063,1.1504592895507813,63.355167388916016,44.32363510131836,43.57854461669922,57.05150604248047,53.12508010864258,40.36240005493164,0,92873.62786865234,58480.180419921875,488.7451171875,16802746368,2818572288,7924039680,0
199,1740578222864,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,6.910423278808594,0.591552734375,0.772491455078125,0.6056442260742188,0.8078231811523438,0.7804794311523438,0.7912979125976563,1.4167938232421875,0.7771072387695313,0.595672607421875,42.68149948120117,44.48915100097656,45.932247161865234,54.40938186645508,44.29808807373047,0.6228179931640625,0,92875.70349121094,58480.92907714844,488.7459716796875,16802746368,2818572288,7803916288,0
199,1740578223064,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,6.539741516113281,0,0,0,0,0,0,0,0,0,55.54576110839844,56.3839225769043,42.38737106323242,28.64472198486328,0,0,0,92877.83502197266,58481.668701171875,488.7459716796875,16802746368,2818572288,7804829696,0
199,1740578223264,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,6.604499816894531,0.44892120361328125,0.5030136108398438,0.4475250244140625,0.50286865234375,0.48097991943359375,0.4799346923828125,0.609100341796875,0.515777587890625,0.4564056396484375,38.5561637878418,58.48522186279297,46.941505432128906,20.701927185058594,0.5214080810546875,0.4612884521484375,0,92879.68951416016,58482.14227294922,488.7459716796875,16802746368,2818572288,7801565184,0
199,1740578223464,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,6.39874267578125,0.1763153076171875,0.2701263427734375,0.17331695556640625,0.20940399169921875,0.19040679931640625,0.19500732421875,0.3153533935546875,0.24843597412109375,0.17681884765625,50.29573440551758,63.60768508911133,35.28033447265625,0.160675048828125,0.23233795166015625,0.1723175048828125,0,92881.60723876953,58482.78552246094,488.75,16802746368,2818572288,7803199488,0
199,1740578223665,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,6.731727600097656,0.149627685546875,0.20386505126953125,0.15135955810546875,0.1930084228515625,0.1727752685546875,0.1826934814453125,0.23520660400390625,0.287567138671875,0.16729736328125,37.480587005615234,55.57577133178711,33.884971618652344,0.15160369873046875,0.213043212890625,0.1487884521484375,0,92883.35418701172,58483.449462890625,488.75,16802746368,2818572288,7804366848,0
199,1740578223865,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,2400,1520,1520,5.055572509765625,0,0,0,0,0,0,0.023223876953125,0,0,61.266639709472656,79.75382995605469,46.790382385253906,13.671340942382813,0,0,0,92885.68719482422,58484.368103027344,488.79083251953125,16802746368,2818572288,7804682240,0
