Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577655244,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,0,0,0,0,0,0,0,0,0,0,94.51184844970703,97.90621948242188,78.8995361328125,0,0,0,0,89350.93975830078,57629.69177246094,448.63641357421875,16802746368,2818572288,6983401472,0
183,1740577655266,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,3.9924774169921875,2.6930007934570313,0,0,0,0,0,0,2.7145538330078125,2.7148818969726563,99.9366455078125,92.66788482666016,83.02095794677734,83.49090576171875,0,0,0,89351.3491821289,57629.906982421875,448.63641357421875,16802746368,2818572288,6982254592,0
198,1740577655452,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,5.712043762207031,14.609489440917969,0.07818603515625,0.02928924560546875,0.155181884765625,0.14061737060546875,0.1425933837890625,0.2135009765625,0,0,54.93928909301758,78.24869537353516,62.842647552490234,43.2313117980957,0.08901214599609375,0.033660888671875,0,89353.35125732422,57630.83331298828,448.67926025390625,16802746368,2818572288,6988210176,0
198,1740577655653,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,8.4508056640625,9.905052185058594,0.44422149658203125,0.4006805419921875,0.42403411865234375,0.38604736328125,0.3826751708984375,0.39533233642578125,0.5098114013671875,0.466949462890625,30.58745574951172,23.91015625,30.79052734375,33.775718688964844,0.44618988037109375,0.423828125,0,89354.92041015625,57631.360412597656,448.67926025390625,16802746368,2818572288,6988685312,0
199,1740577655852,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.2742462158203125,0,0,0,0,0,0,0,0,0,44.66777038574219,43.240211486816406,33.91364288330078,12.562599182128906,0,0,0,89356.32446289063,57631.67901611328,448.67926025390625,16802746368,2818572288,6986928128,0
200,1740577656052,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.0032958984375,0.7826156616210938,1.2169036865234375,1.00543212890625,1.207122802734375,1.1324005126953125,1.1278839111328125,1.2367782592773438,0.9919357299804688,0.8145828247070313,53.893760681152344,35.70751190185547,41.11927795410156,0.7894439697265625,1.1695327758789063,1.0303268432617188,0,89357.9312133789,57632.18811035156,448.67926025390625,16802746368,2818572288,6988242944,0
199,1740577656253,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.6288909912109375,1.4477691650390625,1.6660690307617188,1.5104141235351563,1.6070785522460938,1.5774383544921875,1.5870437622070313,2.4118194580078125,1.5624771118164063,1.4662017822265625,38.63911819458008,27.768516540527344,31.901634216308594,17.876541137695313,1.6683578491210938,1.5313262939453125,0,89359.37615966797,57632.53729248047,448.67926025390625,16802746368,2818572288,6991384576,0
199,1740577656453,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.432395935058594,0.20782470703125,0.27628326416015625,0.24568939208984375,0.31580352783203125,0.29589080810546875,0.28375244140625,0.27788543701171875,0.31003570556640625,0.25878143310546875,20.517982482910156,18.83014678955078,30.054420471191406,0.25176239013671875,0.28646087646484375,0.2239227294921875,0,89360.66375732422,57632.75451660156,448.67926025390625,16802746368,2818572288,6990737408,0
199,1740577656654,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.666435241699219,0,0,0,0,0,0,0,0,0,15.975303649902344,15.779716491699219,4.7240142822265625,0,0,0,0,89361.74200439453,57632.89520263672,448.68328857421875,16802746368,2818572288,6994685952,0
204,1740577656854,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,15.263565063476563,1.2298202514648438,1.2188339233398438,1.1552276611328125,1.2259597778320313,1.2093048095703125,1.2083969116210938,1.2810821533203125,1.2246551513671875,1.16064453125,41.931034088134766,62.40406036376953,34.506370544433594,23.185379028320313,1.2354354858398438,1.1564788818359375,0,89363.19818115234,57633.308166503906,448.72137451171875,16802746368,2818572288,6993383424,0
199,1740577657058,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,3.2032470703125,0,0,0,0,0,0,0,0,0,52.46916198730469,55.63339614868164,67.09022521972656,1.8504867553710938,0,0,0,89364.88018798828,57633.81774902344,448.76318359375,16802746368,2818572288,6990880768,0
199,1740577657259,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,3.0167617797851563,0,0,0,0,0,0,0.27306365966796875,0,0,45.62629318237305,39.358760833740234,27.410980224609375,16.125503540039063,0,0,0,89366.63354492188,57634.57843017578,448.767578125,16802746368,2818572288,6994145280,0
199,1740577657460,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,9.797576904296875,2.5381546020507813,1.1938247680664063,1.1096420288085938,1.2602462768554688,1.2212142944335938,1.2215499877929688,1.22283935546875,2.6612701416015625,2.5804824829101563,41.23728561401367,47.36812210083008,1.1584625244140625,1.0815811157226563,1.166290283203125,1.0893630981445313,0,89367.95080566406,57634.864013671875,448.81231689453125,16802746368,2818572288,6994976768,0
199,1740577657660,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.101325988769531,0.10501861572265625,0.20257568359375,0.11395263671875,0.29351806640625,0.26430511474609375,0.26699066162109375,0.26284027099609375,0.2310028076171875,0.10113525390625,73.66234588623047,69.62942504882813,69.62454223632813,21.08574676513672,0.21392822265625,0.1199951171875,0,89369.85046386719,57635.64532470703,448.88153076171875,16802746368,2818572288,6997024768,0
199,1740577657861,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,3.751678466796875,0,0,0,0,0,0,0,0,0,57.38280487060547,34.53099060058594,44.900577545166016,18.586585998535156,0,0,0,89371.47064208984,57636.24719238281,448.90191650390625,16802746368,2818572288,6994993152,0
196,1740577658064,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,11.221649169921875,2.9655609130859375,3.08544921875,2.9413909912109375,3.0555038452148438,3.0128555297851563,3.007171630859375,3.16485595703125,3.2663650512695313,3.0016708374023438,21.061790466308594,36.30342102050781,3.1836166381835938,2.9840850830078125,3.1198196411132813,2.9422836303710938,0,89372.59649658203,57636.42529296875,448.92791748046875,16802746368,2818572288,6992371712,0
198,1740577658262,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.6868438720703125,0,0,0,0,0,0,3.2051467895507813,0,0,20.916709899902344,31.10955047607422,6.7801361083984375,0,0,0,0,89373.8783569336,57636.68054199219,448.98919677734375,16802746368,2818572288,6992023552,0
200,1740577658461,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,6.201820373535156,0.4072418212890625,0.5395736694335938,0.4657135009765625,0.4391021728515625,0.42511749267578125,0.424407958984375,0.4227447509765625,0.4995880126953125,0.4178466796875,61.46078872680664,34.11798095703125,1.0478515625,0.40118408203125,0.5628509521484375,0.50640869140625,0,89375.32720947266,57637.229919433594,448.99420166015625,16802746368,2818572288,6991912960,0
199,1740577658662,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,5.144584655761719,0,0.01056671142578125,0,0,0,0,0,0.03760528564453125,0,30.022491455078125,76.5987319946289,0.0371551513671875,0,0.0053558349609375,0,0,89376.77648925781,57637.745361328125,449.026611328125,16802746368,2818572288,6991396864,0
199,1740577658864,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,5.571693420410156,0,0,0,0,0,0,0,0,0,46.124027252197266,56.378875732421875,23.377464294433594,0,0,0,0,89378.48846435547,57638.31042480469,449.078369140625,16802746368,2818572288,6991720448,0
199,1740577659064,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,8.564552307128906,0.23137664794921875,0.32363128662109375,0.19269561767578125,0.26467132568359375,0.22454833984375,0.22803497314453125,0.30883026123046875,0.44350433349609375,0.18312835693359375,25.84876251220703,23.91094207763672,8.895362854003906,0.240142822265625,0.3246307373046875,0.20336151123046875,0,89379.70166015625,57638.551696777344,449.1005859375,16802746368,2818572288,6996426752,0
199,1740577659264,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,9.094779968261719,0.9604415893554688,1.131011962890625,0.9480667114257813,1.2080230712890625,1.162139892578125,1.1972427368164063,4.1539306640625,1.1493682861328125,1.0063247680664063,22.72478485107422,23.981117248535156,1.7429428100585938,0.9468002319335938,1.1422805786132813,0.9444732666015625,0,89380.81719970703,57638.702880859375,449.124267578125,16802746368,2818572288,6996905984,0
201,1740577659464,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.623756408691406,0.21212005615234375,0.27050018310546875,0.24994659423828125,0.2919921875,0.2770538330078125,0.2701873779296875,0.269561767578125,0.2714385986328125,0.23496246337890625,49.33480453491211,34.167938232421875,25.84979248046875,0.225860595703125,0.2707061767578125,0.24791717529296875,0,89382.32177734375,57639.268981933594,449.15069580078125,16802746368,2818572288,6999699456,0
