Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577423262,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2.6811752319335938,51.00550079345703,0,0,0,0,0,0,0,0,99.4315414428711,88.6293716430664,83.50848388671875,99.72242736816406,0,0,0,87829.10675048828,57248.593200683594,419.33319091796875,16802746368,2818572288,6993063936,0
178,1740577423284,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,3.8824615478515625,67.1756591796875,4.0222930908203125,4.0222930908203125,4.019996643066406,4.023277282714844,4.021308898925781,4.02294921875,3.9917678833007813,3.99078369140625,85.35673522949219,93.44300842285156,83.23529815673828,58.32228088378906,4.02557373046875,4.025245666503906,0,87829.48181152344,57248.780029296875,419.33740234375,16802746368,2818572288,6994223104,0
199,1740577423463,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,11.14154052734375,6.149421691894531,0.25785064697265625,0.1935272216796875,0.40177154541015625,0.38512420654296875,0.38512420654296875,0.48125457763671875,0.30178070068359375,0.2242279052734375,66.87419128417969,74.74418640136719,67.206787109375,35.874977111816406,0.25487518310546875,0.19358062744140625,0,87831.4887084961,57249.73278808594,419.37799072265625,16802746368,2818572288,6997291008,0
199,1740577423663,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.266387939453125,2.3867111206054688,0,0,0,0,0,0,0,0,20.260398864746094,22.394180297851563,27.04405975341797,13.144096374511719,0,0,0,87832.8764038086,57250.06433105469,419.37799072265625,16802746368,2818572288,6999560192,0
199,1740577423864,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.267730712890625,0,0,0,0,0,0,0,0,0,30.891860961914063,24.863494873046875,37.358543395996094,0,0,0,0,87834.28295898438,57250.414123535156,419.37799072265625,16802746368,2818572288,6998274048,0
199,1740577424064,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,12.732414245605469,1.4343032836914063,1.7907028198242188,1.5649948120117188,1.8956985473632813,1.8607635498046875,1.807525634765625,1.8799667358398438,1.6520767211914063,1.460601806640625,50.493324279785156,57.5177116394043,51.498779296875,1.4785079956054688,1.7351303100585938,1.5510482788085938,0,87835.84112548828,57250.87414550781,419.37799072265625,16802746368,2818572288,6999871488,0
199,1740577424264,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,4.590118408203125,0.12268829345703125,0.29584503173828125,0.23650360107421875,0.25345611572265625,0.22316741943359375,0.2758636474609375,2.7296981811523438,0.24289703369140625,0.13443756103515625,29.885536193847656,29.99335479736328,31.53978729248047,0.1933746337890625,0.3117523193359375,0.2048797607421875,0,87837.24060058594,57251.22277832031,419.37799072265625,16802746368,2818572288,6995988480,0
199,1740577424465,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,4.552955627441406,0,0,0,0,0,0,0,0,0,25.444366455078125,28.04718017578125,25.3248291015625,0,0,0,0,87838.6275024414,57251.50158691406,419.37799072265625,16802746368,2818572288,6996508672,0
198,1740577424666,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,10.567642211914063,3.677398681640625,3.788421630859375,3.725494384765625,3.8014907836914063,3.7542495727539063,3.7534408569335938,3.7633743286132813,3.7501144409179688,3.7123794555664063,31.0213623046875,36.8824462890625,5.647552490234375,3.6735000610351563,3.761138916015625,3.69232177734375,0,87839.81268310547,57251.75146484375,419.38446044921875,16802746368,2818572288,6997274624,0
199,1740577424866,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,8.953285217285156,0,0.09145355224609375,0,0.1524658203125,0.110595703125,0.098052978515625,0.27948760986328125,0.0765380859375,0.01329803466796875,7.127967834472656,33.077308654785156,0.04645538330078125,0,0.07411956787109375,0,0,87840.93341064453,57251.926513671875,419.4266357421875,16802746368,2818572288,6998458368,0
