Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577245277,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,7.835517883300781,7.83428955078125,7.86572265625,7.864906311035156,7.978790283203125,7.9771575927734375,7.9820556640625,7.9726715087890625,7.795921325683594,67.39173889160156,90.78685760498047,81.61331176757813,88.88308715820313,69.1142807006836,7.868171691894531,7.86572265625,0,86655.21881103516,56955.53015136719,395.130859375,16802746368,2818572288,7002628096,0
177,1740577245300,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,13.739105224609375,0.39435577392578125,0.0971832275390625,0.09784698486328125,0,0,0,0,31.116043090820313,86.82813262939453,86.5577392578125,92.16404724121094,87.69123077392578,98.74916076660156,0.09090423583984375,0.090576171875,0,86655.71978759766,56955.82208251953,395.1568603515625,16802746368,2818572288,7003627520,0
199,1740577245478,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,3.6469345092773438,0,0,0,0,0,0,0,28.85919952392578,29.907821655273438,47.33161544799805,57.18962478637695,48.51425552368164,42.378700256347656,0,0,0,86657.74365234375,56956.78009033203,395.17022705078125,16802746368,2818572288,7006945280,0
199,1740577245678,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,5.838890075683594,0,0,0,0,0,0,0,0,0,29.126365661621094,5.433952331542969,33.76384735107422,22.153892517089844,0,0,0,86659.16345214844,56957.12805175781,395.17022705078125,16802746368,2818572288,7007457280,0
199,1740577245879,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,4.316619873046875,0,0,0,0,0,0,0,0,0,37.05903244018555,0,33.6309814453125,26.379356384277344,0,0,0,86660.70104980469,56957.58038330078,395.17022705078125,16802746368,2818572288,7006711808,0
193,1740577246086,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,5.7538604736328125,0,0,0,0,0,0,0,0,0,52.625083923339844,34.41034698486328,35.945587158203125,34.45082092285156,0,0,0,86662.32550048828,56958.06042480469,395.17022705078125,16802746368,2818572288,7006445568,0
200,1740577246280,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,13.450294494628906,0.9307403564453125,1.1498260498046875,0.9509353637695313,1.183380126953125,1.1742019653320313,1.18414306640625,3.226409912109375,1.1603775024414063,0.95623779296875,27.01226806640625,10.667549133300781,30.291717529296875,22.2979736328125,1.1639480590820313,0.9829635620117188,0,86663.84545898438,56958.50537109375,395.17022705078125,16802746368,2818572288,7004053504,0
199,1740577246481,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,7.8514556884765625,0.0697784423828125,0.1218719482421875,0.08600616455078125,0.1768798828125,0.13307952880859375,0.12830352783203125,0.1211395263671875,0.17440032958984375,0.1282501220703125,20.90618896484375,0.122161865234375,23.38176727294922,25.148544311523438,0.1292724609375,0.087127685546875,0,86665.21563720703,56958.7607421875,395.17156982421875,16802746368,2818572288,7002873856,0
200,1740577246682,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,8.683685302734375,0.19710540771484375,0.29158782958984375,0.2510833740234375,0.36525726318359375,0.3018646240234375,0.31219482421875,0.3780670166015625,0.3614044189453125,0.2488555908203125,0.3817596435546875,0.25852203369140625,12.7701416015625,9.321693420410156,0.29766082763671875,0.22779083251953125,0,86666.1732788086,56958.87121582031,395.174560546875,16802746368,2818572288,7002202112,0
199,1740577246884,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,1520,2400,2400,1520,1520,8.223793029785156,0.2544403076171875,0.33922576904296875,0.27344512939453125,0.239410400390625,0.19779205322265625,0.23122406005859375,0.32682037353515625,0.31952667236328125,0.26163482666015625,0.30767059326171875,0.24958038330078125,20.12116241455078,35.814697265625,0.33133697509765625,0.2560272216796875,0,86667.29052734375,56959.017517089844,395.21722412109375,16802746368,2818572288,7005868032,0
