Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577348262,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,23.083396911621094,3.5650711059570313,3.4718475341796875,3.41632080078125,3.518310546875,3.5221099853515625,3.4522628784179688,3.7895126342773438,3.6276092529296875,3.5685806274414063,27.142356872558594,3.5998458862304688,99.2235107421875,99.8036117553711,3.4674606323242188,3.4113540649414063,0,87326.87805175781,57117.800231933594,409.56231689453125,16802746368,2818572288,6991949824,0
198,1740577348287,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.223823547363281,3.87738037109375,3.91656494140625,3.7965545654296875,3.82012939453125,3.81951904296875,3.8192138671875,3.82012939453125,3.8917694091796875,3.8914642333984375,100,48.06727981567383,100,100,3.91656494140625,3.7971725463867188,0,87327.2841796875,57118.00079345703,409.56231689453125,16802746368,2818572288,6991425536,0
199,1740577348486,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.0561370849609375,0.5882415771484375,15.484382629394531,0.5754165649414063,0.68414306640625,0.67364501953125,0.6895065307617188,0.7392807006835938,0.649658203125,0.598785400390625,78.76602172851563,38.84691619873047,67.67829895019531,60.405487060546875,0.6665191650390625,0.6256256103515625,0,87329.48388671875,57119.062438964844,409.606689453125,16802746368,2818572288,6996094976,0
199,1740577348687,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.119468688964844,0,6.540924072265625,0,0,0,0,0,0,0,10.471885681152344,15.169403076171875,44.228370666503906,51.464874267578125,0,0,0,87331.17303466797,57119.58386230469,409.606689453125,16802746368,2818572288,6996832256,0
199,1740577348887,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,3.3602752685546875,0,0,0,0,0,0,0,0,0,18.083282470703125,0,40.63175582885742,41.84617614746094,0,0,0,87332.62927246094,57120.01037597656,409.606689453125,16802746368,2818572288,6998102016,0
199,1740577349087,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.4063720703125,1.0486373901367188,1.1831893920898438,1.1146774291992188,1.3097076416015625,1.2773208618164063,1.302734375,1.3733291625976563,1.2202301025390625,1.0743942260742188,57.927978515625,1.03387451171875,31.818092346191406,42.00844955444336,1.1964569091796875,1.1273193359375,0,87334.17614746094,57120.36395263672,409.606689453125,16802746368,2818572288,6997118976,0
198,1740577349289,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.5527191162109375,0,0,0,0,0,0,0,0,0,30.75835418701172,0,39.7761344909668,32.89930725097656,0,0,0,87335.6001586914,57120.732666015625,409.606689453125,16802746368,2818572288,6996672512,0
199,1740577349488,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,16.673194885253906,3.994537353515625,4.119529724121094,4.0447845458984375,4.151603698730469,4.12225341796875,4.142372131347656,4.2045745849609375,4.092948913574219,4.022331237792969,27.56688690185547,4.024375915527344,27.49102783203125,30.07830047607422,4.148155212402344,4.073066711425781,0,87336.90240478516,57120.95928955078,409.606689453125,16802746368,2818572288,6996066304,0
209,1740577349688,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.4429473876953125,0,0,0,0,0,0,0,0,0,13.388145446777344,0,49.985469818115234,46.06040573120117,0,0,0,87338.23974609375,57121.36114501953,409.6109619140625,16802746368,2818572288,6998745088,0
195,1740577349903,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.118988037109375,0,0,0,0,0,0,1.9107131958007813,0,0,10.163902282714844,0,36.28608703613281,20.826087951660156,0,0,0,87339.70343017578,57121.68212890625,409.6832275390625,16802746368,2818572288,6999674880,0
