Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577318214,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,3.676483154296875,3.676483154296875,4.0494842529296875,3.8610610961914063,3.8743362426757813,3.8764801025390625,3.8781890869140625,3.8764801025390625,3.68719482421875,3.6884765625,100,73.69845581054688,95.00880432128906,3.6319503784179688,3.9073104858398438,3.9077377319335938,0,87124.13983154297,57064.33526611328,405.5035400390625,16802746368,2818572288,6994964480,0
210,1740577318217,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,87124.263671875,57064.39404296875,405.5035400390625,16802746368,2818572288,6995288064,0
199,1740577318428,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,0.0526275634765625,0,4.8732757568359375,0,0,0,0,0,0,0,76.63641357421875,69.83270263671875,70.28189849853516,36.64598846435547,0,1.2071762084960938,0,87127.41229248047,57065.976623535156,405.5474853515625,16802746368,2818572288,6996942848,0
198,1740577318629,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,0,0,5.1340179443359375,0,0,0,0,2.4201812744140625,0,0,37.99260711669922,20.62763214111328,22.38147735595703,11.777427673339844,0,5.76202392578125,0,87128.50885009766,57066.32385253906,405.5474853515625,16802746368,2818572288,7000178688,0
199,1740577318829,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,1.4571380615234375,1.353302001953125,8.070846557617188,1.3815231323242188,1.45709228515625,1.427825927734375,1.4281768798828125,1.4336929321289063,1.4385604858398438,1.362548828125,31.922019958496094,37.30105972290039,40.8288459777832,1.3566818237304688,1.4268341064453125,1.3758621215820313,0,87129.9521484375,57066.69287109375,405.5474853515625,16802746368,2818572288,6997512192,0
199,1740577319029,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,0,0,5.744049072265625,0,0,0,0,0,0,0,57.243560791015625,49.24116516113281,32.94696807861328,0,0,0,0,87131.52947998047,57067.2275390625,405.5474853515625,16802746368,2818572288,6996832256,0
199,1740577319230,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,6.352485656738281,0.0122528076171875,2.1826400756835938,0.0352783203125,0.1666259765625,0.1361846923828125,0.14785003662109375,0.19509124755859375,0.1011505126953125,0.0513916015625,34.06354522705078,43.588836669921875,37.04008102416992,0.02593994140625,0.0776824951171875,0.02307891845703125,0,87132.99462890625,57067.56701660156,405.5474853515625,16802746368,2818572288,6995939328,0
199,1740577319430,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,8.497947692871094,1.4608993530273438,1.530670166015625,1.4897384643554688,1.5239944458007813,1.4993667602539063,1.4981536865234375,1.4992218017578125,1.5480422973632813,1.5067672729492188,30.847503662109375,29.931930541992188,25.953895568847656,1.487945556640625,1.5335769653320313,1.5053176879882813,0,87134.37023925781,57067.860595703125,405.5474853515625,16802746368,2818572288,6995689472,0
200,1740577319630,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,6.425453186035156,0,0,0,0.10778045654296875,0.1410675048828125,0.112884521484375,3.3393936157226563,0.1666717529296875,0,37.571285247802734,25.948043823242188,4.342529296875,0,0.0165863037109375,0,0,87135.66345214844,57068.139404296875,405.55181884765625,16802746368,2818572288,6995951616,0
200,1740577319832,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,1520,1520,7.7422027587890625,0,0,0,0,0,0,0,0,0,17.049354553222656,17.42975616455078,0,0,0,0,0,87136.72741699219,57068.34094238281,405.55181884765625,16802746368,2818572288,6995206144,0
