Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577035276,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,24.185684204101563,0,0,0,0,0,0,0,0,0,91.29808044433594,62.469730377197266,77.29197692871094,95.7169189453125,73.22224426269531,0,0,85127.19744873047,56487.808349609375,373.77880859375,16802746368,2818572288,7160303616,0
177,1740577035299,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,7.850372314453125,0.1939697265625,0.62017822265625,0.4647979736328125,0.9701919555664063,0.9395828247070313,0.91961669921875,0.943572998046875,0.37529754638671875,0.21559906005859375,84.42169189453125,69.4239730834961,96.38473510742188,41.47372055053711,40.751731872558594,17.310745239257813,0,85127.50390625,56487.94403076172,373.783203125,16802746368,2818572288,7161733120,0
199,1740577035477,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,2.3246383666992188,0,0,0,0,0,0,0,0,0,29.697708129882813,52.619930267333984,23.419761657714844,31.07550048828125,0,0,0,85129.34857177734,56488.95324707031,373.783203125,16802746368,2818572288,7169667072,0
199,1740577035678,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,8.706016540527344,2.86517333984375,3.0526046752929688,3.002960205078125,3.0696868896484375,3.0808639526367188,3.0594863891601563,3.1315765380859375,2.9675750732421875,2.8765411376953125,65.87358093261719,48.60319137573242,61.11822509765625,65.94708251953125,13.797134399414063,2.94921875,0,85131.28594970703,56489.746826171875,373.822265625,16802746368,2818572288,7180517376,0
199,1740577035878,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,0.7982711791992188,0.4777069091796875,3.9690628051757813,0.49419403076171875,0.844329833984375,0.8495101928710938,0.7799530029296875,0.8990020751953125,0.6459579467773438,0.4844818115234375,69.36356353759766,64.26695251464844,72.70105743408203,68.14971923828125,10.497657775878906,0.49114990234375,0,85133.35607910156,56490.65802001953,373.822265625,16802746368,2818572288,7183892480,0
199,1740577036078,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,0.0356597900390625,0,5.7052154541015625,0,0,0,0,0.17618560791015625,0.00673675537109375,0,48.79619598388672,58.40795135498047,42.535804748535156,22.600799560546875,1.9030532836914063,0,0,85135.55798339844,56491.61047363281,373.822265625,16802746368,2818572288,7181197312,0
200,1740577036279,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,2.3270339965820313,2.189453125,6.253913879394531,2.189849853515625,2.395172119140625,2.3840255737304688,2.433990478515625,2.3893966674804688,2.2590484619140625,2.2290191650390625,50.61528778076172,57.1444206237793,46.147762298583984,43.84428024291992,2.2519683837890625,2.2044143676757813,0,85137.33184814453,56492.26171875,373.822265625,16802746368,2818572288,7186710528,0
199,1740577036480,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,0.6296615600585938,0.1558685302734375,7.1928253173828125,0.13494873046875,0.405975341796875,0.35809326171875,0.36407470703125,0.3876190185546875,0.214385986328125,0.153594970703125,27.812278747558594,33.08207702636719,6.165840148925781,0.15863800048828125,0.194549560546875,0.14226531982421875,0,85138.67486572266,56492.540283203125,373.822265625,16802746368,2818572288,7186452480,0
199,1740577036680,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,0.800201416015625,0.17786407470703125,7.4408416748046875,0.242401123046875,0.2922515869140625,0.27374267578125,0.27841949462890625,0.25638580322265625,0.29064178466796875,0.21006011962890625,38.68745422363281,48.2170295715332,11.220870971679688,0.1475372314453125,0.405029296875,0.34165191650390625,0,85140.03033447266,56492.82391357422,373.822265625,16802746368,2818572288,7186878464,0
198,1740577036881,1520,1520,2400,1520,2400,2400,2400,2400,2400,1520,2400,2400,2400,1520,2400,1520,0.8878097534179688,0.44187164306640625,5.986854553222656,0.5157394409179688,0.6768646240234375,0.6263046264648438,0.62896728515625,0.7460784912109375,0.6913528442382813,0.43416595458984375,39.7293701171875,47.56378173828125,34.64729309082031,0.5126876831054688,0.650299072265625,0.5048370361328125,0,85141.54370117188,56493.252197265625,373.82574462890625,16802746368,2818572288,7184695296,0
