Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577185330,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,1.20977783203125,0,0,0,0,0,0,0,0,0,88.23472595214844,83.53074645996094,92.32553100585938,70.51167297363281,0,0,0,86233.02947998047,56832.897705078125,388.7216796875,16802746368,2818572288,7108726784,0
199,1740577185331,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,16.438003540039063,0,0,0,0,0,0,0,0,0,95.2030029296875,99.81714630126953,100,92.10811614990234,0,0,0,86233.22802734375,56832.97900390625,388.7216796875,16802746368,2818572288,7108796416,0
199,1740577185531,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,3.6798858642578125,3.4566268920898438,0,0,0,0,0,0,0,0,38.38941192626953,53.163326263427734,36.6051139831543,9.608245849609375,0,0,0,86234.9476928711,56833.88415527344,388.7216796875,16802746368,2818572288,7116419072,0
199,1740577185731,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,4.668548583984375,8.339584350585938,0,0,0,0,0,0,0,0,56.593223571777344,73.86820220947266,66.36872863769531,32.73902893066406,0,0,0,86237.11437988281,56834.84729003906,388.76043701171875,16802746368,2818572288,7128342528,0
201,1740577185931,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,15.333168029785156,32.74158477783203,2.5111846923828125,2.3198394775390625,2.57220458984375,2.5596694946289063,2.5493316650390625,2.7834320068359375,2.4729843139648438,2.2942733764648438,78.0989761352539,68.74127197265625,68.02932739257813,62.962886810302734,2.5235748291015625,2.3186111450195313,0,86239.39477539063,56835.96502685547,388.76043701171875,16802746368,2818572288,7133032448,0
199,1740577186133,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,6.378120422363281,1.7896804809570313,0.5037078857421875,0.45836639404296875,0.5699462890625,0.5495376586914063,0.5582275390625,0.5496368408203125,0.5118637084960938,0.46793365478515625,39.153602600097656,92.2457046508789,30.092979431152344,25.5701904296875,0.49863433837890625,0.45904541015625,0,86241.46276855469,56836.8515625,388.76043701171875,16802746368,2818572288,7134896128,0
199,1740577186334,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,5.951057434082031,0.4659576416015625,0.626220703125,0.5746231079101563,0.5972671508789063,0.5780105590820313,0.577911376953125,0.6405029296875,0.5440750122070313,0.48929595947265625,54.61616516113281,56.27909469604492,56.741024017333984,0.46297454833984375,0.6355743408203125,0.5738296508789063,0,86243.22644042969,56837.502685546875,388.76043701171875,16802746368,2818572288,7136288768,0
199,1740577186535,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,6.909797668457031,0.2338714599609375,0.3255157470703125,0.27384185791015625,0.297088623046875,0.2707366943359375,0.2749786376953125,0.27571868896484375,0.3404693603515625,0.24729156494140625,26.404441833496094,22.21289825439453,18.88922119140625,0.255584716796875,0.350189208984375,0.25079345703125,0,86244.61627197266,56837.84326171875,388.76043701171875,16802746368,2818572288,7137038336,0
200,1740577186735,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,6.9294281005859375,0.1036529541015625,0.3400115966796875,0.2897186279296875,0.27452850341796875,0.21256256103515625,0.22815704345703125,0.2268829345703125,0.2558746337890625,0.162872314453125,39.8949089050293,45.810970306396484,16.823692321777344,0.1654205322265625,0.3718109130859375,0.24904632568359375,0,86246.06262207031,56838.233337402344,388.76043701171875,16802746368,2818572288,7136378880,0
201,1740577186936,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,2400,2400,1520,2400,1520,6.7731781005859375,0.0823211669921875,0.3282012939453125,0.114837646484375,0.39520263671875,0.3207855224609375,0.35992431640625,4.418601989746094,0.3906097412109375,0.10208892822265625,34.359344482421875,37.67890548706055,36.349056243896484,13.653388977050781,0.33803558349609375,0.0941314697265625,0,86247.57836914063,56838.71319580078,388.76470947265625,16802746368,2818572288,7136681984,0
