Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740576741480,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,10.98809814453125,9.340972900390625,4.934257507324219,4.788566589355469,4.3454437255859375,4.3433074951171875,4.349006652832031,4.3343963623046875,11.241012573242188,9.677947998046875,94.53961181640625,5.9469757080078125,88.31230163574219,99.38268280029297,4.9303436279296875,4.787498474121094,0,82982.66027832031,55825.02795410156,343.517333984375,16802746368,2818572288,7249768448,0
177,1740576741503,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,0,0,7.3929595947265625,7.3938751220703125,7.406005859375,7.409034729003906,7.406913757324219,7.399330139160156,0.7436599731445313,0,97.11845397949219,31.82073211669922,93.15023040771484,95.4036636352539,7.387199401855469,7.387809753417969,0,82983.11798095703,55825.19079589844,343.55419921875,16802746368,2818572288,7250001920,0
199,1740576741681,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.4258270263671875,0.9127044677734375,1.0276336669921875,0.9751052856445313,1.294097900390625,1.2791290283203125,1.2776718139648438,1.4010696411132813,13.269096374511719,0.8471145629882813,55.2848014831543,61.109798431396484,61.514854431152344,49.30787658691406,1.0369415283203125,0.9651260375976563,0,82985.3861694336,55826.403076171875,343.55419921875,16802746368,2818572288,7256612864,0
199,1740576741881,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,3.3046722412109375,0,0,0,0,0,0,0,17.163795471191406,0,76.16929626464844,55.54655075073242,73.41413116455078,60.54026794433594,0,0,0,82987.48205566406,55827.29748535156,343.55419921875,16802746368,2818572288,7258931200,0
199,1740576742082,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.4663543701171875,1.180419921875,1.1036453247070313,1.0640945434570313,1.1380157470703125,1.1283111572265625,1.12646484375,1.1259994506835938,3.9635467529296875,3.2854690551757813,61.23538589477539,37.96883010864258,47.760101318359375,38.71610641479492,1.1060409545898438,1.057861328125,0,82989.5375366211,55828.227111816406,343.55419921875,16802746368,2818572288,7258705920,0
200,1740576742282,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.62396240234375,0.3166046142578125,0.6154937744140625,0.462890625,0.6952438354492188,0.5520095825195313,0.544891357421875,0.60516357421875,2.4792022705078125,0.31842041015625,58.61128616333008,67.56169128417969,48.394203186035156,38.57032012939453,0.6144180297851563,0.4605865478515625,0,82991.53759765625,55829.107360839844,343.55419921875,16802746368,2818572288,7274987520,0
199,1740576742484,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,5.886962890625,0,0.14421844482421875,0.009674072265625,0.12928009033203125,0.1435699462890625,0.12744140625,0.9823837280273438,0.096771240234375,0,28.7515869140625,0,30.28984832763672,23.674697875976563,0.12476348876953125,0.01012420654296875,0,82992.96856689453,55829.423095703125,343.55419921875,16802746368,2818572288,7271489536,0
199,1740576742684,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.7947540283203125,0.472259521484375,0.7389144897460938,0.7389144897460938,0.6879959106445313,0.6648712158203125,0.6709213256835938,0.6639785766601563,0.8877487182617188,0.5231781005859375,49.14244842529297,9.5745849609375,40.94455337524414,38.54567337036133,0.8095855712890625,0.6669082641601563,0,82994.47058105469,55829.82940673828,343.55419921875,16802746368,2818572288,7270805504,0
199,1740576742884,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.559906005859375,0.4294891357421875,0.5191192626953125,0.45545196533203125,0.6036453247070313,0.5923080444335938,0.5894699096679688,0.5988311767578125,0.487945556640625,0.44573211669921875,63.457763671875,47.63475036621094,71.01567840576172,63.492889404296875,0.5255508422851563,0.4540863037109375,0,82996.57727050781,55830.874755859375,343.56475830078125,16802746368,2818572288,7267373056,0
199,1740576743084,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,5.324127197265625,0,0,0,0,0,0,0,0,0,36.94213104248047,27.14051055908203,43.39224624633789,51.7153205871582,0,0,0,82998.5844116211,55831.86212158203,343.6085205078125,16802746368,2818572288,7272980480,0
199,1740576743285,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,7.0485992431640625,0.8261184692382813,0.9889068603515625,0.9178390502929688,1.0867156982421875,1.0668487548828125,1.0654449462890625,1.1324539184570313,0.9617843627929688,0.8444900512695313,56.53850173950195,12.275825500488281,71.84134674072266,92.80084991455078,1.024444580078125,0.89453125,0,83000.63018798828,55832.761962890625,343.647216796875,16802746368,2818572288,7269752832,0
199,1740576743485,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.917808532714844,0.16309356689453125,0.36418914794921875,0.1885986328125,0.36769866943359375,0.3414306640625,0.340362548828125,1.7826461791992188,0.30641937255859375,0.1783905029296875,31.037307739257813,18.358078002929688,33.29810333251953,37.8743782043457,0.38050079345703125,0.20638275146484375,0,83002.02673339844,55833.24493408203,343.6513671875,16802746368,2818572288,7273349120,0
199,1740576743686,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,7.161689758300781,0.181732177734375,0.235626220703125,0.639373779296875,0.53570556640625,0.5232925415039063,0.5019989013671875,0.5832672119140625,0.29524993896484375,0.22869873046875,14.941658020019531,2.7254791259765625,61.220699310302734,32.701927185058594,0.262603759765625,0.2061920166015625,0,83003.51428222656,55833.74108886719,343.6927490234375,16802746368,2818572288,7263510528,0
200,1740576743886,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,6.870521545410156,0.638641357421875,0.8235244750976563,0.742584228515625,0.9589157104492188,0.944793701171875,0.940032958984375,0.9393310546875,7.032508850097656,0.6218643188476563,81.584228515625,78.15348052978516,58.058799743652344,46.769107818603516,0.845367431640625,0.7541046142578125,0,83005.76391601563,55834.75842285156,343.6927490234375,16802746368,2818572288,7268306944,0
199,1740576744086,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,5.387367248535156,0.15999603271484375,0.42531585693359375,0.31540679931640625,0.47486114501953125,0.45208740234375,0.45130157470703125,0.5195159912109375,6.931053161621094,0.15234375,48.27273178100586,32.750816345214844,56.89289093017578,68.91798400878906,0.37799072265625,0.32928466796875,0,83007.59240722656,55835.385314941406,343.69598388671875,16802746368,2818572288,7267655680,0
198,1740576744287,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,8.42730712890625,0.27951812744140625,0.4685516357421875,0.26043701171875,0.5117111206054688,0.44864654541015625,0.4549713134765625,0.5279388427734375,0.48448944091796875,0.2200775146484375,30.88776397705078,4.6443023681640625,52.271446228027344,38.58019256591797,0.4169158935546875,0.253082275390625,0,83008.96002197266,55835.72766113281,343.74005126953125,16802746368,2818572288,7264428032,0
199,1740576744486,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,7.068153381347656,0.37419891357421875,0.7522659301757813,0.5795745849609375,0.7125015258789063,0.707489013671875,0.6844558715820313,2.0125808715820313,0.5312347412109375,0.41374969482421875,22.296669006347656,2.0281753540039063,53.844905853271484,45.05052947998047,0.7180252075195313,0.554473876953125,0,83010.45697021484,55836.29479980469,343.74462890625,16802746368,2818572288,7263797248,0
198,1740576744688,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,1520,2400,2400,1520,1520,1520,7.464561462402344,0.13132476806640625,0.26323699951171875,0.18021392822265625,0.223052978515625,0.1823272705078125,0.18719482421875,0.29825592041015625,0.216949462890625,0.16088104248046875,2.2598724365234375,0.19831085205078125,11.840293884277344,6.322349548339844,0.2664337158203125,0.18729400634765625,0,83011.52795410156,55836.478271484375,343.74462890625,16802746368,2818572288,7262556160,0
