Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577110197,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,0,0,0,0,0,0,0,0,0,0,74.36650085449219,0,100,97.75788116455078,0,0,0,85678.69049072266,56659.98468017578,381.1827392578125,16802746368,2818572288,7110455296,0
177,1740577110219,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,15.859077453613281,2.5160064697265625,2.2474365234375,2.2464675903320313,2.38543701171875,2.3825302124023438,2.3822097778320313,2.3809127807617188,2.5389556884765625,2.53765869140625,100,40.26029586791992,100,100,2.249053955078125,2.2480850219726563,0,85679.04949951172,56660.13928222656,381.1827392578125,16802746368,2818572288,7109750784,0
208,1740577110398,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,3.58050537109375,0,0,11.877494812011719,0,0,0,3.512115478515625,0,0,69.46514892578125,64.91969299316406,34.76564025878906,39.648223876953125,0,0,0,85681.03540039063,56661.14093017578,381.230712890625,16802746368,2818572288,7114780672,0
201,1740577110607,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,8.542381286621094,2.7368698120117188,2.7597198486328125,5.45391845703125,2.8909988403320313,2.8858642578125,2.8794097900390625,2.8597793579101563,2.8391265869140625,2.776123046875,76.76664733886719,39.172447204589844,56.16934585571289,69.95950317382813,2.790802001953125,2.7295761108398438,0,85683.1996459961,56662.24920654297,381.27056884765625,16802746368,2818572288,7117864960,0
196,1740577110812,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,5.17828369140625,0,0.0567779541015625,15.478172302246094,0.13653564453125,0.12574005126953125,0.12560272216796875,0.2369537353515625,0,0,58.09269714355469,50.814857482910156,64.34239196777344,56.206504821777344,0,0,0,85685.66735839844,56663.419982910156,381.27056884765625,16802746368,2818572288,7122272256,0
200,1740577111009,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,5.819908142089844,0.0322418212890625,0.253143310546875,5.26708984375,0.240570068359375,0.22893524169921875,0.28095245361328125,0.29701995849609375,0.08519744873046875,0.0380859375,76.6764907836914,20.733924865722656,43.417015075683594,44.53356170654297,0.21228790283203125,0.14681243896484375,0,85687.50109863281,56664.22216796875,381.27056884765625,16802746368,2818572288,7126425600,0
200,1740577111210,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,6.596824645996094,0.6866683959960938,0.8454132080078125,22.19513702392578,0.8811187744140625,0.8686447143554688,0.8825454711914063,0.8695755004882813,0.7500839233398438,0.7060470581054688,54.88542938232422,43.590675354003906,57.94944763183594,57.25123977661133,0.81646728515625,0.77691650390625,0,85689.64630126953,56665.140197753906,381.27056884765625,16802746368,2818572288,7138365440,0
198,1740577111412,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,6.6368560791015625,0.035186767578125,0.27111053466796875,0.05204010009765625,0.27605438232421875,0.19733428955078125,0.210723876953125,0.9916458129882813,0.2436370849609375,0.0693359375,26.44562530517578,10.8565673828125,26.467124938964844,27.27507781982422,0.25247955322265625,0.06646728515625,0,85691.11926269531,56665.54083251953,381.27056884765625,16802746368,2818572288,7138164736,0
199,1740577111612,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,6.9350433349609375,0.29361724853515625,0.44974517822265625,0.426422119140625,0.386505126953125,0.36675262451171875,0.349609375,0.44170379638671875,0.40822601318359375,0.32251739501953125,15.881202697753906,0.303314208984375,40.812255859375,40.404685974121094,0.46100616455078125,0.37525177001953125,0,85692.49676513672,56665.87109375,381.27056884765625,16802746368,2818572288,7136260096,0
199,1740577111811,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,1520,2400,1520,1520,4.41064453125,0,0,0,0,0,0,0,0,0,56.748695373535156,29.63378143310547,60.62629318237305,36.55857849121094,0,0,0,85694.27178955078,56666.53601074219,381.27056884765625,16802746368,2818572288,7134527488,0
